scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C24-S03,Book 3,24,Chapter 24,3,323,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a9fa4c74c1dc0b093853201cfd114daffa8b55e6908788f1416246f494449cab,They split up.,"""Signal is live,"" Aleksei pointed to a needle jumping into the red. ""You're broadcasting on all AM frequencies within five hundred miles. Go.""",Jonah Harrow,,,Abandoned logging-station transmitter shack,Jonah Harrow; Sarah; Aleksei; two Grey Guard guards,Capture the station and activate the transmitter.,"Guards, obsolete equipment, risk of detection.",Aleksei successfully powers the vacuum-tube transmitter.,Jonah receives a live microphone broadcasting across all AM frequencies within five hundred miles.,Guards knocked unconscious; shack breached; geothermal backup and transmitter activated.,The team confirms the old technology bypasses the jamming field.,Jonah decides the message should center survival and witness rather than vengeance.,Sarah and Aleksei support Jonah's role as public voice.,Bakelite microphone and transmitter controls placed in Jonah's use.,Jonah must deliver a credible public broadcast before triangulation.,Information-war thread.,The transmitter-access objective is fulfilled.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C24-S04,Book 3,24,Chapter 24,4,335,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b2d98d9371d7a3ecac0de5fa8d72d289248b5e3b0d29fd3ca03d11ea68540ad9,"""This is Sheriff Jonah Harrow of Snowfall Creek,"" Jonah said. His voice was rough, tired, but steady.",They scrambled out the back window just as the front door was kicked in.,Jonah Harrow,,,Logging-station transmitter shack,Jonah Harrow; Sarah; Aleksei; unseen regional listeners; approaching enemy,Expose Valerius and ask outsiders to witness the siege.,"Official propaganda, limited broadcast time, rapid signal triangulation.",Jonah asks for witnesses rather than military rescue.,The message reaches the region before enemy forces arrive.,"Jonah broadcasts town identity, siege facts, and plea for witnesses; transmitter destroyed; escape begins.",Regional listeners learn Snowfall Creek is being besieged and erased under false biohazard claims.,Jonah reframes victory as visibility rather than cavalry.,He publicly names the town's plural community as worth defending.,Transmitter deliberately destroyed after broadcast.,An audience may arrive and prevent a secret massacre.,Public-witness and information-war threads.,The truth-broadcast promise is fulfilled.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C24-S05,Book 3,24,Chapter 24,5,271,series/books/book-3/phase-8-editing/MANUSCRIPT.md,83692f5d68d94d417ff851a6d076b6c016965bb6033bd9ede8df49ba7b607dcb,They hit the tree line running.,He jumped.,Jonah Harrow,,,Forest and ravine near logging station,Jonah Harrow; Sarah; Aleksei; Grey Guard Hunters,Escape the response team and return to the library.,"Hunters, net gun, taser, silver containment collar, exhaustion.",Jonah uses earth magic to escape the collar team and jumps into the ravine.,He separates from the others and risks the river to avoid capture.,Team scatters; Jonah full-shifts; net and taser strike; earth roots attack soldiers; cliff jump.,Jonah learns Valerius has specialized Alpha-containment teams.,He accepts extreme self-endangerment to preserve the broadcast's success.,The separation delays his return to Margot.,"Jonah loses clothes, weapons, and likely comms during escape.",Jonah must survive the river and reunite with Margot.,"Self-sacrifice, pursuit, and reunion threads.",Capture is avoided.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C24-S06,Book 3,24,Chapter 24,6,251,series/books/book-3/phase-8-editing/MANUSCRIPT.md,e542f21c11e784bacd1a1a1210dd5926da827d2be1a677e1aa92555f11970a21,He hit the water hard.,And an audience was the one thing a shadow government couldn't fight.,Jonah Harrow,,,Riverbank and highway outside Snowfall Creek,Jonah Harrow; approaching civilian convoy,Survive the river and determine whether the broadcast mattered.,"Hypothermia, isolation, lost communications, distance from library.",Jonah sees a convoy of civilian trucks and vehicles responding to the broadcast.,He realizes the audience is arriving and Valerius can no longer keep the war secret.,Jonah falls into icy river; reaches bank naked and exhausted; civilian convoy approaches town.,Jonah learns the broadcast succeeded and outsiders are coming to witness the siege.,He understands the decisive force may be public visibility rather than military rescue.,His immediate goal becomes returning to Margot with proof the plan worked.,Comms and gear lost in river; no Treaty involved.,"The arriving audience must survive, enter, or expose the siege.",Public-witness and final-accountability threads.,The audience promise receives a major payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C25-S01,Book 3,25,Chapter 25,1,490,series/books/book-3/phase-8-editing/MANUSCRIPT.md,c633e8f55e27a2cdd1efd308490129011be60689326a2a05c57762fee88ba824,**Shared POV (Margot / Jonah)**,"""Let's get you warm,"" Margot said, helping him stand. ""Then... we go say hello to our guests.""",Shared POV (Margot / Jonah),,,Library coal chute and interior,Margot Vance; Jonah Harrow; defenders,Get Jonah back inside after the broadcast mission and assess the audience response.,"Jonah's hypothermia, separation, ongoing siege, and Valerius's next contingency.",Jonah confirms that witnesses are arriving and Valerius cannot kill everyone unseen.,Jonah is brought inside to warm while Margot prepares to meet the convoy.,Jonah returns through coal chute; reunion; broadcast success confirmed; Jonah treated for cold exposure.,Margot learns civilian witnesses are approaching Snowfall Creek.,Both accept that visibility has shifted the battlefield.,Margot prioritizes Jonah's recovery while continuing command.,Jonah receives borrowed clothes and warming care.,The arriving witnesses must be protected from Valerius's response.,Public-witness and siege-collapse threads.,Jonah's return-to-Margot promise is fulfilled.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C25-S02,Book 3,25,Chapter 25,2,645,series/books/book-3/phase-8-editing/MANUSCRIPT.md,44ba8a7540adc0173ae45818a8beb36e365ba6c55bea67543daa0a78505b501a,**Jonah**,He pressed the button.,Jonah Harrow,,hour later,Library steps and town square,Jonah Harrow; Margot Vance; Valerius; civilian convoy; cameras; defenders,Use the arriving audience to force Valerius to stand down.,"Valerius's backup systems, Grey Guard presence, and media manipulation.",Valerius activates a contingency after Jonah declares the signal defeated.,The public confrontation becomes a new engineered massacre.,Convoy arrives; cameras record; Jonah confronts Valerius; Valerius triggers backup system.,Jonah learns Valerius retained a secondary Feral Signal delivery method.,Public visibility alone is not enough if Valerius can manufacture the images.,Jonah and Margot face the audience confrontation together.,No major transfer.,Stop the backup Feral Signal before the witnesses are killed.,Information-war and Valerius-contingency threads.,The audience arrives as promised.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C25-S03,Book 3,25,Chapter 25,3,349,series/books/book-3/phase-8-editing/MANUSCRIPT.md,db28579566f245669835b14dcfdcbc5f88761fbfcfd2f2a79584920b041972d2,**Margot**,Valerius had won the narrative.,Margot Vance,,,Town square,Margot Vance; Jonah Harrow; Valerius; transformed supernatural defenders; civilian witnesses,Understand and stop the backup signal.,"Airborne or injected feral agent, panicked civilians, monsters losing control on camera.",The supernatural defenders begin transforming and attacking the witnesses.,Valerius appears to win the narrative by manufacturing a public massacre.,"Backup signal disperses; Trolls, Vampires, and Wolves go feral; civilians and cameramen are attacked.",Margot learns the backup system is designed to create visual proof of monster violence.,"She recognizes the central weapon is narrative engineering, not only infection.",Margot's immediate focus shifts from Jonah to curing the entire infected population.,No major transfer.,Develop and distribute a cure before the massacre becomes irreversible.,Feral-virus and information-war threads.,Valerius's backup-system threat is revealed.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C25-S04,Book 3,25,Chapter 25,4,324,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b7ba0c40d24410a0e951f870306cfad719c6e6af48a65c5a04ec35b20459726a,**Shared POV**,And the town was burning.,Shared POV,,,Town square and library entrance,Margot Vance; Jonah Harrow; Grey Guard; feral defenders; civilians,Prevent the massacre and retreat to the library.,"Feral allies, Grey Guard herding tactics, cameras, Jonah's infection.",Margot is forced inside while Jonah remains trapped outside.,The pair are separated as the town burns.,Grey Guard uses tranquilizer fire to shape violence toward cameras; defenders lose control; Margot dragged inside; Jonah left outside.,Margot learns the Grey Guard is deliberately directing the violence for public consumption.,She abandons any hope of solving the crisis through battlefield tactics alone.,Separation creates immediate rescue urgency.,Library doors sealed; Jonah remains outside without Margot.,Margot must cure and recover Jonah.,"Virus, separation, and Valerius-defeat threads.",None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C25-S05,Book 3,25,Chapter 25,5,318,series/books/book-3/phase-8-editing/MANUSCRIPT.md,2571da0ca8483ae41fe0521d29366bb0e28107f7d7efeec032245813872d57d0,**Margot**,"""Then we're going to kill Inquisitor Valerius.""",Margot Vance,,,Library interior,Margot Vance; Henderson; Aleksei; Fire Elemental,Create a cure for the feral infection and save Jonah.,"No existing antidote, time pressure, infected town, limited ingredients.",Margot decides to synthesize an antiviral from dragon's blood and archive alchemy.,A cure-development effort begins.,Margot commits to catching Jonah; alchemy station assembled; cure plan formed.,Margot identifies the infection as treatable through a synthesized counter-agent.,She moves from defensive Keeper to active creator of new knowledge.,Her love for Jonah becomes the emotional center of the cure effort.,Alchemy tools and ingredients gathered.,Synthesize the cure and administer it to Jonah.,Virus-cure and reunion threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C25-S06,Book 3,25,Chapter 25,6,162,series/books/book-3/phase-8-editing/MANUSCRIPT.md,ba17f797b63b3f90e12503790f51c819884e9e7429bf4331132f4fc26db45808,They took the lift down.,"She was the Keeper. And she was done keeping secrets. Now, she was going to make some.",Margot Vance,,,Library alchemy station,Margot Vance; Henderson; Aleksei; Fire Elemental,Begin the antiviral synthesis.,"Dangerous ingredients, improvised process, little time.",Henderson outlines the first step and Margot begins.,The library becomes a wartime laboratory.,Alchemy workspace prepared; dragon's blood antiviral process initiated.,Margot begins converting archive knowledge into original medicine.,She declares an end to keeping secrets and commits to making solutions.,Allies support Margot's leadership and scientific improvisation.,Dragon's blood and alchemical apparatus enter active use.,The synthesized cure must work on the techno-arcane virus.,Cure-development thread.,The cure effort begins in earnest.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C26-S01,Book 3,26,Chapter 26,1,473,series/books/book-3/phase-8-editing/MANUSCRIPT.md,ee390e923d96eebd2a3927da946b3eaf68492b575d9408dd3525a94617cd246b,**Jonah**,"He was a fugitive in his own town. A monster in a monster romance, except the romance was dead and the monster was hungry.",Jonah Harrow,,,Snowfall Creek service alleys,Jonah Harrow,Resist the feral virus and avoid killing anyone.,"Chemical rage, hallucinations, forced transformation, predatory compulsion.",Jonah kills a rat involuntarily and realizes he is losing control.,He seeks sanctuary at The Howling Moon.,Virus intensifies; hallucinations begin; rat killed; Jonah uses scent to navigate.,Jonah learns the parasite is distinct from his true Wolf and can override his actions.,He begins treating himself as a containment threat.,Margot remains his psychological anchor despite absence.,No major transfer.,Jonah must confine himself before he harms a person.,Virus-control and self-sacrifice threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C26-S02,Book 3,26,Chapter 26,2,315,series/books/book-3/phase-8-editing/MANUSCRIPT.md,3e05cdf327033b430d70b0a714bb4195896f90cb2712a4d73ef93a297769963a,The front door of The Howling Moon was gone. Smashed in.,He needed a cage.,Jonah Harrow,,night,The Howling Moon,Jonah Harrow; Principal Henderson,Find refuge without attacking a civilian.,"Blood scent, hunger, feral compulsion, terrified civilian.",Jonah saves Principal Henderson by remaining hidden and motionless.,He leaves the bar and seeks a secure cage.,Ruined bar explored; whiskey used to blunt rage; civilian enters; Jonah resists attack.,"Jonah learns restraint is still possible, but only narrowly.",He decides physical confinement is necessary.,His sheriff identity survives through self-denial.,Whiskey consumed; no lasting custody.,Reach the Sheriff's Station and lock himself away.,Self-containment thread.,Jonah successfully avoids harming the civilian.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C26-S03,Book 3,26,Chapter 26,3,459,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6b7e635d775f75eaf6b3fdd680e7e78b8e30ed879297a6e48375cab813937851,The Sheriff's Station was empty.,"*""I hear you, Sheriff,""* Margot's voice filtered through the static. She sounded million miles away. *""And I am ignoring that order.""*",Jonah Harrow,,,Sheriff's Station holding cells,Jonah Harrow; Margot Vance over CCTV,Contain himself and warn Margot away.,"Fever, hallucinations, fear of killing Margot, approaching kill squad.",Margot responds through the station speaker and refuses his order.,"Jonah is no longer isolated, but the kill squad is imminent.",Jonah locks himself in drunk tank; hallucinations worsen; CCTV contact with Margot established.,Jonah learns Margot can see and communicate with him remotely.,He recognizes she will not accept unilateral sacrifice.,Margot's refusal reinforces reciprocal protection.,Cell custody self-imposed.,Margot will intervene despite Jonah's command.,"Rescue, cure, and relationship threads.",Jonah successfully confines himself.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C26-S04,Book 3,26,Chapter 26,4,458,series/books/book-3/phase-8-editing/MANUSCRIPT.md,c05edb20da0c4d1155c5b7e676f22f98a4056dcd3736980817b63acf570bf4ee,"""Look away,"" Jonah snarled at the camera. He turned his back, hiding his face. ""I'm sick, Margot. I'm... wrong.""",The lights went out.,Jonah Harrow,,,Sheriff's Station holding cells,Jonah Harrow; Margot Vance over speaker; Magisterium kill squad,Survive until Margot can help without proving Valerius's narrative.,"Execution team, feral infection, locked cell.",Margot uses the town PA to play an anti-signal that forces Jonah to purge black ichor.,"Jonah is temporarily weakened and human again, but soldiers prepare to execute him.",Kill squad arrives; Margot activates PA counter-signal; Jonah vomits black ichor; rifles aimed.,Margot and Jonah learn the virus can be disrupted by a counter-signal.,The infection appears techno-arcane rather than purely biological.,Margot saves Jonah remotely through analysis rather than force.,No major transfer.,The counter-signal must become a complete cure or protective system.,Virus-mechanism and rescue threads.,The first anti-signal test works partially.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C26-S05,Book 3,26,Chapter 26,5,300,series/books/book-3/phase-8-editing/MANUSCRIPT.md,28aea1383c3bc9cbbf4609757934afddb2d38b8e14af1d12d9ad2cdc929bd76c,Pitch black.,"""Come on, Sheriff,"" Silas said. ""Margot's waiting. And she says you owe her a drink.""",Jonah Harrow,,night,Sheriff's Station holding cells,Jonah Harrow; Magisterium kill squad; Silas,Survive execution and escape the cell.,"Armed soldiers, weakness after purging the virus, locked confinement.","Silas appears, defeats the kill squad, and opens the cell.",Jonah is rescued by a revenant founder awakened by the Archives.,Lights fail; Silas attacks soldiers; lock rusts away; Jonah freed.,Jonah learns Silas is a revenant and the Archives can awaken historical agents.,His understanding of the founding era gains a living witness.,Margot's rescue network expands through the library itself.,Cell lock destroyed; Silas's sword-cane introduced.,Silas's knowledge of the town and Iron Horse will matter.,Founding-history and rescue threads.,Jonah's imminent execution is prevented.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C26-S06,Book 3,26,Chapter 26,6,422,series/books/book-3/phase-8-editing/MANUSCRIPT.md,82a0dd7a757a1c86944404d36638d34e95cafed02e06db3b43ac3df8e96bd996,They moved through the town.,"""The Great Train Robbery,"" she smiled grimly. ""Okay. Let's saddle up.""",Jonah Harrow,,,Snowfall Creek alleys and B4 Vault,Jonah Harrow; Margot Vance; Silas; Aleksei; Henderson; Fire Elemental,Reunite Jonah with Margot and determine the true source of the virus.,"Dormant infection, time pressure, hidden mobile transmitter.",Margot reveals the virus is a techno-arcane signal transmitted from the Iron Horse.,The group decides to rob the train and destroy the Feral Signal at its source.,Silas uses Notice-Me-Not and blind door; reunion in B4; virus mechanism explained; train robbery proposed.,The group learns the Iron Horse is transmitting the Feral Signal and that stopping it requires boarding the train.,Jonah stops treating himself as incurably monstrous and focuses on the source.,Margot and Jonah reunite but avoid contact until the infection is controlled.,Train map and robbery plan introduced.,Board the Iron Horse and shut down the Feral Signal.,Virus-source and Valerius-defeat threads.,The infection mechanism is substantially explained.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C27-S01,Book 3,27,Chapter 27,1,302,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b808199f70211aad2bbcf387d19376be71ff15a9da8c58f30f0d65949db6ef49,**Margot**,"""Ideally,"" Jonah stepped up beside her, ""we give them hell first.""",Margot Vance,,,B4 Vault planning table,Margot Vance; Jonah Harrow; Silas; Aleksei; Henderson; Sarah,Plan a safe way to board and disable the Iron Horse.,"Mobile fortress defenses, sixty-mile-per-hour speed, radioactive or feral meltdown risk.",Silas proposes using the condemned ski-resort zip-line tower over the trestle.,The team adopts an airborne boarding plan.,Train layout reviewed; derailment rejected; boarding strategy formed; zip-line tower selected.,The team learns the Iron Horse is a shielded mobile fortress with the Emitter core in the locomotive.,Margot accepts an extremely high-risk boarding operation as the only viable option.,Jonah joins Margot as equal mission commander despite infection.,Iron Horse map used for planning.,Board the train from the zip-line before it reaches the dam.,Train-robbery and virus-source threads.,The Great Train Robbery plan becomes operational.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C27-S02,Book 3,27,Chapter 27,2,494,series/books/book-3/phase-8-editing/MANUSCRIPT.md,34aa93dc62bba901d539031b0f7999b2f438b3257ac079863aecdab185770804,"The Zip-Line Tower groaned in the gale force wind, a skeleton of rusted steel swaying three hundred feet above the gorge. Below, the tracks looked like toy lines drawn in the snow, curving along the precipice of the Granite Abyss.",He jumped.,Margot Vance,,,Condemned zip-line tower over Granite Abyss,Margot Vance; Jonah Harrow; Silas; Aleksei; Henderson; Sarah,Reach the tower platform and time the boarding jump.,"Gale-force wind, extreme height, condemned structure, approaching train.",Aleksei volunteers to jump first and clear the roof.,The boarding sequence begins.,Tower climbed; Iron Horse approaches; zip-line route assessed; Aleksei jumps.,The team confirms the cable crosses directly over the train at the trestle.,Margot accepts fear without surrendering action.,Aleksei's loyalty and expendability logic support the group.,Harnesses and zip-line handles used.,Each team member must land on the train safely.,Boarding-operation thread.,The team reaches the launch point.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C27-S03,Book 3,27,Chapter 27,3,595,series/books/book-3/phase-8-editing/MANUSCRIPT.md,51ba3524d6b342e2f53da852cb32fe2dbf0457b80c1b617d3b31fa3cacbe2360,"Aleksei became a blur of black silk against the snow. He zipped down the wire, a dark streak intercepting the massive iron snake below. He timed it perfectly—unnaturally—releasing the handle just as the Troop Car passed underneath.","""Breaching!""",Margot Vance,,,Iron Horse roof,Margot Vance; Jonah Harrow; Aleksei; Henderson; Sarah; Silas,Land the team on the train and breach the maintenance hatch.,"Roof turrets, speed, wind, hard landing, locked hatch.",Henderson cracks the hatch lock after the team secures the roof.,The team prepares to enter the nerve-center car.,Aleksei disables turret; Margot and others zip-line aboard; Jonah destroys mounted gun; hatch decoded.,The team learns the train's roof defenses can be disabled physically.,Margot trusts the improvised team to execute the impossible plan.,The group functions as a coherent assault unit.,Mounted turret torn off and discarded; hatch access gained.,Breach the server car and locate the true Emitter.,Train-assault thread.,The train is successfully boarded.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C27-S04,Book 3,27,Chapter 27,4,593,series/books/book-3/phase-8-editing/MANUSCRIPT.md,634f8f3f56cadf4df86e238abcdc151c92e78d46d77d4196930584e57f9df5d8,"They dropped into the car, boots ringing on the metal grating.","""According to this,"" Henderson said, ""He's the fuel.""",Margot Vance,,,Iron Horse nerve-center car,Margot Vance; Jonah Harrow; Henderson; Aleksei; Shock Troopers,Take the server car and shut down the Feral Signal.,"Elite Shock Troopers, confined firefight, misleading server architecture.",Henderson discovers the true Emitter is in the locomotive and detects an Alpha-class Wolf battery.,Jonah learns his father is alive and being used as the power source.,Server-car firefight; Shock Troopers defeated; telemetry examined; Jackson Harrow identified as fuel.,The team learns the locomotive contains both the Emitter and Jackson Harrow as a living Alpha battery.,Jonah's mission changes from system shutdown to rescuing his father.,Margot witnesses Jonah's deepest family wound become immediate.,Server systems captured; telemetry data accessed.,Rescue Jackson Harrow from the locomotive.,"Father mystery, train assault, and Valerius confrontation.",Jackson's supposed death is revealed as false.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C27-S05,Book 3,27,Chapter 27,5,1168,series/books/book-3/phase-8-editing/MANUSCRIPT.md,7b807697f7f99ec482e27be7c16a3353297fce9911d809e1ecd6bcab1259cc4d,"""Move!"" Jonah roared, his voice thickening with the wolf's growl.","""Class is dismissed.""",Shared POV,,years ago,Iron Horse sleeper cars and engine-room approach,Jonah Harrow; Margot Vance; Valerius; train guards; Henderson; Aleksei; Sarah; Silas,"Fight through the train, reach Jackson, and stop the collision.","Elite guards, Jonah's pain-driven rage, Valerius, sealed engine room, ten-minute collision course.",Valerius reveals the train is aimed at the dam and seals the engine room.,The team enters the final train confrontation with a hard deadline.,Jonah charges through sleeper car; guards defeated; Valerius confronted; dam collision announced.,The team learns the Iron Horse will hit the dam in ten minutes and wipe out the valley.,Margot distinguishes pain from chosen anger and tries to keep Jonah from becoming feral.,Margot acts as Jonah's moral anchor during the father's rescue crisis.,Engine-room doors sealed; train controls remain with Valerius.,"Rescue Jackson, stop the train, and defeat Valerius before the dam impact.",Final-train climax.,Valerius's true endgame is revealed.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C28-S01,Book 3,28,Chapter 28,1,611,series/books/book-3/phase-8-editing/MANUSCRIPT.md,bd45df0cc9e7d2aca9ce780bf228f1aa1ea4c5f03e0857c189259e08001625a7,**Shared POV**,"""Oops,"" Valerius stared at the jammed gear, then at Margot. His smile faltered. ""Brake failure. How tragic.""",Shared POV,,,Iron Horse engine room,Jonah Harrow; Margot Vance; Valerius; Jackson Harrow,"Free Jackson, defeat Valerius, and regain control of the locomotive.","Valerius's kinetic magic, Jonah's infection, sealed Alpha tank, runaway engine.",Valerius jams the throttle at maximum velocity.,The train becomes impossible to brake conventionally.,Jonah fights Valerius; Margot attacks Jackson's tank; throttle control is destroyed.,The team learns the engine is locked at maximum speed.,Margot recognizes stopping the train will require structural sacrifice rather than normal control.,Jonah and Margot divide roles between combat and rescue without hesitation.,No major transfer.,Decouple the rear cars and free Jackson before impact.,"Dam-collision, Jackson-rescue, and Valerius-defeat threads.",None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C28-S02,Book 3,28,Chapter 28,2,256,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b4bf122973c005f994eb86dde5185c69fe79c926ad8ceb7bc08cc84850d0f1a9,**Aleksei**,Only one way to find out.,Aleksei,,,Iron Horse roof and coupling,Aleksei; Sarah; Henderson,Decouple the passenger cars from the runaway locomotive.,"High speed, drones, broken arm, Magisterium safety chains.",Aleksei kicks out the coupling pin but the safety chains remain.,The rear cars are almost free but still attached.,Roof combat; coupling pin removed; safety-chain problem revealed.,The team learns manual decoupling requires cutting reinforced safety chains.,Aleksei accepts the need for a dangerous close-range cut.,Sarah and Aleksei coordinate under extreme pressure.,Coupling pin expelled; Aleksei's sword prepared for chain cut.,Cut the chains before the locomotive reaches the dam.,Train-decoupling thread.,The main coupling is released.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C28-S03,Book 3,28,Chapter 28,3,365,series/books/book-3/phase-8-editing/MANUSCRIPT.md,78bd534568e2679ad55d0a848ee5490e7e020e9b1cb5e49570463bd695c3154a,**Margot**,He tackled Valerius.,Margot Vance,,,Iron Horse engine room,Margot Vance; Jonah Harrow; Valerius; Jackson Harrow,Break Jackson's tank and shut down the Emitter.,"Empty shotgun, reinforced tank glass, Valerius's attack, draining life support.",Margot destroys the Emitter controls and the Feral Signal dies.,Jonah's parasite collapses and his true Wolf returns to control.,Margot breaks tank; Jackson freed; Emitter destroyed; Jonah tackles Valerius.,The team confirms the Feral Signal and Jonah's parasite depend on the locomotive Emitter.,Jonah regains confidence that the Wolf is himself rather than the infection.,Margot saves both Jonah and Jackson through direct action.,Emitter controls destroyed; Jackson removed from tank.,Survive the collision and finish Valerius.,"Virus-cure, father-rescue, and final-antagonist threads.",The Feral Signal is shut down and Jackson is freed.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C28-S04,Book 3,28,Chapter 28,4,410,series/books/book-3/phase-8-editing/MANUSCRIPT.md,20134a75ee855482edb46b7fa231006edf91cefa5c574cadf4db8af79acf2dd4,**Shared POV**,They hit.,Shared POV,,,Iron Horse coupling and engine room,Jonah Harrow; Margot Vance; Jackson Harrow; Valerius; Aleksei; Sarah; Henderson,Separate the rear cars and survive the final approach to the dam.,"Safety chains, runaway locomotive, Valerius's escape, seconds remaining.",Aleksei cuts the last chain and the rear cars decouple.,"Most of the team is saved while Jonah, Margot, Jackson, and Valerius remain on the locomotive.",Safety chain severed; rear train brakes; Valerius parachutes away; locomotive reaches dam wall.,The team learns Valerius has planned an aerial escape.,Jonah and Margot accept they must survive impact rather than stop it.,Jonah physically shields Margot and Jackson.,Rear cars separate; Valerius departs with parachute.,Survive the locomotive crash and pursue Valerius afterward.,Collision and antagonist-escape threads.,The decoupling objective is fully achieved.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C28-S05,Book 3,28,Chapter 28,5,627,series/books/book-3/phase-8-editing/MANUSCRIPT.md,baed39a4a1ac59e9eecd811ccdac802e44c990795739d6c81cd9046587dba973,The Locomotive hit the concrete barrier at ninety miles an hour.,They had stopped the train. They had saved the valley.,Shared POV,,,Granite dam and reservoir,Jonah Harrow; Margot Vance; Jackson Harrow,Survive the locomotive impact and prevent catastrophic dam failure.,"Ninety-mile-per-hour collision, exploding engine, reservoir water, damaged dam.",The locomotive punches through the barrier but loses enough force to avoid destroying the dam.,"The train is destroyed, the valley survives, and the Feral Signal cloud lifts.",Locomotive crashes; engine enters reservoir; survivors reach surface; dam holds despite cracking.,Margot and Jonah learn the valley has survived and the signal is gone.,They recognize the impossible mission actually succeeded.,Jonah remains physically protective through the impact.,Locomotive and Emitter destroyed in reservoir.,Recover Jackson and return to town to finish the war.,Aftermath and final-Valerius threads.,The dam-collision threat is resolved without valley destruction.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C28-S06,Book 3,28,Chapter 28,6,283,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0ea12a86ca063ba1b1f8e32d080230cc5125905093228c316f58169de5f73a03,They collapsed on the rip-rap of the dam's edge.,"""Then we finish the war.""",Shared POV,,,Dam rip-rap,Jonah Harrow; Margot Vance; Jackson Harrow,Stabilize Jackson and decide the next move.,"Jackson's decade of damage, exhaustion, cold, Valerius still at large.",Jackson's eyes clear and he recognizes Jonah.,"Father and son reunite, and the group decides to return home and finish the conflict.",Jonah shifts human; Jackson remains wolf but regains awareness; father-son contact; town status checked.,Jonah learns Jackson's identity and mind survived the battery captivity.,Jonah's grief over his father's death is replaced by fragile hope.,Margot becomes part of the Harrow family reunion and recovery plan.,No major transfer.,Heal Jackson and defeat Valerius in town.,Father-recovery and final-accountability threads.,Jackson's rescue receives emotional confirmation.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C29-S01,Book 3,29,Chapter 29,1,559,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4632ecbeb2dda5586403ec2f54bf1fd9bcf41797a2c02b6e23ada9c63df2ea9d,**Margot**,"""Go!"" Margot yelled. ""This is Keeper business! I revoke his access!""",Margot Vance,,,Road into Snowfall Creek and Town Hall exterior,Margot Vance; Jonah Harrow; Jackson Harrow; Valerius helicopter,Return the survivors to town and stop Valerius's escape.,"Jackson's condition, Margot's exhaustion, helicopter departure.",Margot sends Jonah with Jackson and claims Valerius as Keeper business.,Margot pursues Valerius alone into Town Hall.,Return walk; helicopter spotted; Margot carries Founding Scroll; Jonah ordered to paramedics.,Margot learns Valerius is escaping from Town Hall roof.,She accepts final responsibility for enforcing the Charter.,Jonah trusts Margot to complete the final confrontation while protecting his father.,Founding Scroll remains strapped to Margot's back.,Use Keeper authority to stop Valerius.,Final-antagonist and Charter threads.,The survivors return to town.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
